strategy,symbol,entry_date,exit_date,entry_price,exit_price,quantity,pnl,pnl_pct,exit_reason
momentum_breakout,360ONE,2024-07-29,2024-10-03,1047.5272216796875,960.0974078356694,22,-1923.46,-8.35,stoploss
momentum_breakout,360ONE,2024-11-27,2024-12-26,1112.9429931640625,1277.8768755468361,24,3958.41,14.82,target
momentum_breakout,360ONE,2025-06-05,2025-07-04,1062.39794921875,1223.3154834150423,24,3862.02,15.15,target
momentum_breakout,360ONE,2025-10-14,2025-11-06,1114.5286865234375,1062.5663501180147,28,-1454.95,-4.66,stoploss
momentum_breakout,360ONE,2025-11-28,2025-12-05,1176.3712158203125,1112.2546717364387,26,-1667.03,-5.45,stoploss
momentum_breakout,ABB,2024-10-09,2024-10-23,8356.517578125,7838.558476986184,3,-1553.88,-6.2,stoploss
momentum_breakout,ABB,2026-02-03,2026-03-12,5645.41064453125,6349.76649063774,5,3521.78,12.48,target
momentum_breakout,ABB,2026-04-08,2026-04-22,6538.25927734375,7366.882790244543,4,3314.49,12.67,target
momentum_breakout,ABB,2026-04-22,2026-04-29,7556.09619140625,7234.90966796875,4,-1284.75,-4.25,end_of_data
momentum_breakout,ACMESOLAR,2025-05-14,2025-07-10,237.5706024169922,281.4111917588165,91,3989.49,18.45,target
momentum_breakout,ACMESOLAR,2025-07-10,2025-08-06,286.8271789550781,267.07649986288766,101,-1994.82,-6.89,stoploss
momentum_breakout,ACMESOLAR,2025-09-12,2025-09-19,318.51922607421875,294.1245318666992,81,-1975.97,-7.66,stoploss
momentum_breakout,ACMESOLAR,2026-03-13,2026-04-17,255.61000061035156,298.84289357438826,92,3977.43,16.91,target
momentum_breakout,AIAENG,2024-08-12,2024-08-21,4771.63720703125,4426.190783673584,5,-1727.23,-7.24,stoploss
momentum_breakout,AIAENG,2025-11-10,2025-11-17,3445.699951171875,3772.054293295096,8,2610.83,9.47,target
momentum_breakout,APLAPOLLO,2024-09-30,2024-10-23,1578.64013671875,1498.4405044803113,19,-1523.79,-5.08,stoploss
momentum_breakout,APLAPOLLO,2024-12-09,2024-12-24,1610.977294921875,1510.0313674165998,18,-1817.03,-6.27,stoploss
momentum_breakout,APLAPOLLO,2025-04-22,2025-05-21,1615.9598388671875,1818.776804622954,17,3447.89,12.55,target
momentum_breakout,APLAPOLLO,2025-06-04,2025-06-13,1887.81103515625,1806.0298866640617,15,-1226.72,-4.33,stoploss
momentum_breakout,APLAPOLLO,2025-10-01,2025-12-22,1731.0999755859375,1870.5392485881437,17,2370.47,8.05,target
momentum_breakout,APLAPOLLO,2026-01-01,2026-01-09,1970.0,1895.7076041661994,15,-1114.39,-3.77,stoploss
momentum_breakout,APLAPOLLO,2026-01-23,2026-02-03,2000.0999755859375,2193.1656970142644,15,2895.99,9.65,target
momentum_breakout,APLAPOLLO,2026-02-06,2026-03-09,2198.0,2084.2991515737167,14,-1591.81,-5.17,stoploss
momentum_breakout,AUBANK,2024-09-05,2024-10-21,702.0342407226562,664.7604758913408,42,-1565.5,-5.31,stoploss
momentum_breakout,AUBANK,2025-04-21,2025-05-27,622.8318481445312,713.3828713649528,44,3984.25,14.54,target
momentum_breakout,AUBANK,2025-06-02,2025-06-18,717.7648315429688,788.228781556554,42,2959.49,9.82,target
momentum_breakout,AUBANK,2025-06-26,2025-07-21,818.6903686523438,780.9734867972613,38,-1433.24,-4.61,stoploss
momentum_breakout,AUBANK,2025-10-20,2025-11-26,865.2000122070312,954.1337064038071,36,3201.61,10.28,target
momentum_breakout,AUBANK,2025-12-10,2026-01-27,993.7000122070312,954.7770188981431,32,-1245.54,-3.92,stoploss
momentum_breakout,AUBANK,2026-04-23,2026-04-29,1056.25,1017.6500244140625,30,-1158.0,-3.65,end_of_data
momentum_breakout,AWL,2024-08-02,2024-08-13,383.1499938964844,359.2982700872929,78,-1860.43,-6.23,stoploss
momentum_breakout,AWL,2025-10-29,2025-11-25,275.54998779296875,263.8211405310602,106,-1243.26,-4.26,stoploss
momentum_breakout,AADHARHFC,2024-09-06,2024-09-24,443.45001220703125,513.9946525892008,56,3950.5,15.91,target
momentum_breakout,AADHARHFC,2024-09-24,2024-09-30,510.45001220703125,473.3486938316249,53,-1966.37,-7.27,stoploss
momentum_breakout,AADHARHFC,2024-11-07,2024-11-13,464.1000061035156,427.165180221305,54,-1994.48,-7.96,stoploss
momentum_breakout,AADHARHFC,2025-07-01,2025-07-21,463.8999938964844,516.0998664214111,64,3340.79,11.25,target
momentum_breakout,AADHARHFC,2025-07-21,2025-11-07,516.3499755859375,484.9498052150622,60,-1884.01,-6.08,stoploss
momentum_breakout,AARTIIND,2024-07-30,2024-08-13,740.8250122070312,695.2353236345011,40,-1823.59,-6.15,stoploss
momentum_breakout,AARTIIND,2025-05-07,2025-07-23,457.2310791015625,420.0699051716155,53,-1969.54,-8.13,stoploss
momentum_breakout,AARTIIND,2026-02-05,2026-03-02,453.6000061035156,423.61613781429224,63,-1888.98,-6.61,stoploss
momentum_breakout,AARTIIND,2026-04-27,2026-04-29,488.75,502.3500061035156,57,775.2,2.78,end_of_data
momentum_breakout,AAVAS,2024-09-05,2024-10-07,1815.75,1719.0358280348137,16,-1547.43,-5.33,stoploss
momentum_breakout,AAVAS,2025-03-10,2025-03-17,1752.3499755859375,1903.8665007326772,16,2424.26,8.65,target
momentum_breakout,AAVAS,2025-04-21,2025-04-25,2166.300048828125,1989.3718981406555,11,-1946.21,-8.17,stoploss
momentum_breakout,AAVAS,2025-06-30,2025-07-03,2092.5,1948.2922407594926,13,-1874.7,-6.89,stoploss
momentum_breakout,ABBOTINDIA,2024-07-15,2024-08-12,27802.412109375,26673.734129697237,1,-1128.68,-4.06,stoploss
momentum_breakout,ABBOTINDIA,2024-08-28,2024-09-18,29543.77734375,28079.27378477787,1,-1464.5,-4.96,stoploss
momentum_breakout,ACE,2024-12-18,2025-01-09,1499.601318359375,1387.6271714878953,17,-1903.56,-7.47,stoploss
momentum_breakout,ACE,2025-05-26,2025-05-28,1352.3153076171875,1251.3888787724147,19,-1917.6,-7.46,stoploss
momentum_breakout,ACE,2026-04-22,2026-04-29,934.4000244140625,899.0,30,-1062.0,-3.79,end_of_data
momentum_breakout,ACUTAAS,2025-08-19,2025-10-17,1394.8797607421875,1591.0485669296638,20,3923.38,14.06,target
momentum_breakout,ACUTAAS,2025-10-17,2025-11-04,1646.9000244140625,1859.5703157967782,18,3828.07,12.91,target
momentum_breakout,ACUTAAS,2025-11-24,2025-12-03,1872.199951171875,1731.812348578127,14,-1965.43,-7.5,stoploss
momentum_breakout,ACUTAAS,2026-01-28,2026-02-18,1862.4000244140625,2128.7164716727484,15,3994.75,14.3,target
momentum_breakout,ACUTAAS,2026-03-05,2026-03-16,2234.89990234375,2068.724986094667,12,-1994.1,-7.44,stoploss
momentum_breakout,ACUTAAS,2026-03-17,2026-04-02,2302.60009765625,2111.9749426302665,10,-1906.25,-8.28,stoploss
momentum_breakout,ADANIENSOL,2024-08-01,2024-08-05,1275.199951171875,1164.451164587329,18,-1993.48,-8.68,stoploss
momentum_breakout,ADANIENSOL,2025-03-27,2025-04-07,872.8499755859375,804.1440141176901,29,-1992.47,-7.87,stoploss
momentum_breakout,ADANIENSOL,2025-04-17,2025-05-08,914.1500244140625,842.6696145025735,27,-1929.97,-7.82,stoploss
momentum_breakout,ADANIENSOL,2025-09-22,2025-09-25,937.4000244140625,884.9359656359027,30,-1573.92,-5.6,stoploss
momentum_breakout,ADANIENSOL,2025-10-29,2026-01-02,967.5499877929688,1067.0989231100295,28,2787.37,10.29,target
momentum_breakout,ADANIENSOL,2026-04-08,2026-04-17,1073.300048828125,1253.3468507498,22,3961.03,16.78,target
momentum_breakout,ADANIENSOL,2026-04-17,2026-04-28,1259.800048828125,1453.8975123741595,20,3881.95,15.41,target
momentum_breakout,ADANIENT,2025-06-10,2025-06-13,2611.805419921875,2482.7594710246976,11,-1419.51,-4.94,stoploss
momentum_breakout,ADANIENT,2025-09-23,2025-09-26,2676.39990234375,2547.3718215897306,11,-1419.31,-4.82,stoploss
momentum_breakout,ADANIENT,2026-04-28,2026-04-29,2412.39990234375,2425.89990234375,12,162.0,0.56,end_of_data
momentum_breakout,ADANIGREEN,2024-09-20,2024-10-03,2003.949951171875,1872.3268391330796,14,-1842.72,-6.57,stoploss
momentum_breakout,ADANIGREEN,2025-05-16,2025-06-19,1020.0999755859375,936.0838292622611,23,-1932.37,-8.24,stoploss
momentum_breakout,ADANIGREEN,2025-09-22,2025-09-25,1152.1500244140625,1082.451520057217,25,-1742.46,-6.05,stoploss
momentum_breakout,ADANIGREEN,2025-10-29,2025-11-07,1112.5999755859375,1043.6029003219967,25,-1724.93,-6.2,stoploss
momentum_breakout,ADANIGREEN,2026-04-20,2026-04-29,1152.699951171875,1244.800048828125,22,2026.2,7.99,end_of_data
momentum_breakout,ADANIPORTS,2024-08-01,2024-08-05,1582.451171875,1508.8342344066218,18,-1325.1,-4.65,stoploss
momentum_breakout,ADANIPORTS,2025-04-17,2025-05-28,1253.302490234375,1420.2698091757238,23,3840.25,13.32,target
momentum_breakout,ADANIPORTS,2025-09-19,2025-11-28,1427.800048828125,1532.3992257960858,21,2196.58,7.33,target
momentum_breakout,ADANIPORTS,2026-04-17,2026-04-29,1573.4000244140625,1661.0999755859375,19,1666.3,5.57,end_of_data
momentum_breakout,ADANIPOWER,2025-04-15,2025-09-08,108.44000244140625,126.10137311823019,226,3991.47,16.29,target
momentum_breakout,ADANIPOWER,2025-09-08,2025-09-11,126.7699966430664,120.25659715363537,246,-1602.3,-5.14,stoploss
momentum_breakout,ADANIPOWER,2025-09-19,2025-09-23,141.8800048828125,160.85849222045815,210,3985.48,13.38,target
momentum_breakout,ADANIPOWER,2026-03-16,2026-04-10,154.05999755859375,176.48462902174091,178,3991.58,14.56,target
momentum_breakout,ADANIPOWER,2026-04-13,2026-04-22,181.35000610351562,208.9393041649769,144,3972.86,15.21,target
momentum_breakout,ADANIPOWER,2026-04-22,2026-04-29,215.64999389648438,219.27999877929688,127,461.01,1.68,end_of_data
momentum_breakout,ATGL,2025-06-10,2025-06-12,712.8349609375,673.3166639086458,42,-1659.77,-5.54,stoploss
momentum_breakout,ATGL,2025-09-22,2025-09-24,780.75,730.3611475315009,37,-1864.39,-6.45,stoploss
momentum_breakout,ATGL,2026-04-28,2026-04-29,653.8499755859375,656.9500122070312,33,102.3,0.47,end_of_data
momentum_breakout,ABCAPITAL,2025-05-14,2025-06-11,218.3300018310547,250.75413052951058,123,3988.17,14.85,target
momentum_breakout,ABCAPITAL,2025-06-17,2025-08-18,255.11000061035156,284.6027075659688,122,3598.11,11.56,target
momentum_breakout,ABCAPITAL,2025-10-28,2025-11-07,312.6000061035156,342.02602090429747,103,3030.88,9.41,target
momentum_breakout,ABCAPITAL,2025-11-07,2026-02-02,338.1000061035156,319.40412806704774,98,-1832.2,-5.53,stoploss
momentum_breakout,ABFRL,2024-09-23,2024-10-07,344.5,323.33551261272623,87,-1841.31,-6.14,stoploss
momentum_breakout,ABFRL,2025-05-19,2025-05-21,286.04998779296875,266.1608142928575,100,-1988.92,-6.95,stoploss
momentum_breakout,ABREL,2024-08-27,2024-09-02,2509.548828125,2312.8288557650912,10,-1967.2,-7.84,stoploss
momentum_breakout,ABREL,2024-09-11,2024-10-18,2611.008056640625,3055.8598829903403,8,3558.81,17.04,target
momentum_breakout,ABREL,2024-10-18,2024-10-22,3050.06396484375,2780.039382074371,7,-1890.17,-8.85,stoploss
momentum_breakout,ABREL,2025-06-06,2025-07-16,2353.688720703125,2169.4585601197705,10,-1842.3,-7.83,stoploss
momentum_breakout,ABSLAMC,2024-08-20,2024-10-07,731.3046264648438,681.8299978744211,40,-1978.99,-6.77,stoploss
momentum_breakout,ABSLAMC,2024-11-27,2024-12-12,859.8717041015625,799.1291368159933,32,-1943.76,-7.06,stoploss
momentum_breakout,ABSLAMC,2025-05-16,2025-06-09,689.0166625976562,794.7961035361864,37,3913.84,15.35,target
momentum_breakout,ABSLAMC,2025-07-10,2025-09-26,827.5596313476562,778.4974394732673,36,-1766.24,-5.93,stoploss
momentum_breakout,ABSLAMC,2026-02-11,2026-03-10,860.8499755859375,970.9592061997616,34,3743.71,12.79,target
momentum_breakout,ABSLAMC,2026-03-10,2026-03-23,975.75,890.5121033489586,23,-1960.47,-8.74,stoploss
momentum_breakout,CPPLUS,2025-11-07,2026-01-06,1534.9000244140625,1415.9850339291295,16,-1902.64,-7.75,stoploss
momentum_breakout,CPPLUS,2026-02-10,2026-02-24,1587.0,1467.2594890362307,16,-1915.85,-7.55,stoploss
momentum_breakout,CPPLUS,2026-02-27,2026-04-13,1689.0,1995.1455013455434,13,3979.89,18.13,target
momentum_breakout,CPPLUS,2026-04-15,2026-04-29,2066.89990234375,2338.39990234375,10,2715.0,13.14,end_of_data
momentum_breakout,AEGISLOG,2024-11-18,2024-12-09,834.046875,772.1251792861231,32,-1981.49,-7.42,stoploss
momentum_breakout,AEGISLOG,2025-01-07,2025-01-10,953.825439453125,858.8030841587315,21,-1995.47,-9.96,stoploss
momentum_breakout,AEGISLOG,2025-03-27,2025-04-01,893.1197509765625,796.8821146279649,20,-1924.75,-10.78,stoploss
momentum_breakout,AEGISLOG,2025-05-19,2025-05-23,896.484130859375,820.4894766487525,26,-1975.86,-8.48,stoploss
momentum_breakout,AEGISLOG,2025-10-03,2025-10-08,881.1500244140625,804.6355011110262,26,-1989.38,-8.68,stoploss
momentum_breakout,AEGISVOPAK,2025-10-03,2025-11-06,283.3999938964844,260.9367113454861,89,-1999.23,-7.93,stoploss
momentum_breakout,AFCONS,2025-09-19,2025-09-26,461.6499938964844,438.78796404449713,64,-1463.17,-4.95,stoploss
momentum_breakout,AFFLE,2024-08-09,2024-10-22,1595.199951171875,1464.3994592095228,15,-1962.01,-8.2,stoploss
momentum_breakout,AFFLE,2024-12-02,2025-01-10,1736.199951171875,1608.823231993416,15,-1910.65,-7.34,stoploss
momentum_breakout,AFFLE,2025-05-14,2025-06-10,1679.5,1929.585662456552,15,3751.28,14.89,target
momentum_breakout,AFFLE,2025-06-10,2025-07-25,1939.0,1811.0350137890582,15,-1919.47,-6.6,stoploss
momentum_breakout,AFFLE,2025-09-09,2025-09-29,2070.199951171875,1956.7459218175275,14,-1588.36,-5.48,stoploss
momentum_breakout,AJANTPHARM,2024-07-31,2024-08-09,2641.22216796875,2972.1317368743876,11,3640.01,12.53,target
momentum_breakout,AJANTPHARM,2024-09-10,2024-09-16,3358.000732421875,3103.091612595771,7,-1784.36,-7.59,stoploss
momentum_breakout,AJANTPHARM,2025-12-22,2026-01-01,2700.800048828125,2936.1454603148413,11,2588.8,8.71,target
momentum_breakout,AJANTPHARM,2026-01-01,2026-01-09,2938.39990234375,2783.83347398904,10,-1545.66,-5.26,stoploss
momentum_breakout,AJANTPHARM,2026-02-13,2026-03-13,2920.10009765625,3209.5089567477885,10,2894.09,9.91,target
momentum_breakout,ALKEM,2024-07-15,2024-07-22,5285.42529296875,5001.129377746147,5,-1421.48,-5.38,stoploss
momentum_breakout,ALKEM,2024-08-07,2024-08-30,5411.62841796875,5996.127714863809,5,2922.5,10.8,target
momentum_breakout,ALKEM,2025-04-23,2025-04-29,5182.62744140625,4928.587812995795,5,-1270.2,-4.9,stoploss
momentum_breakout,ALKEM,2025-05-19,2025-05-30,5272.75146484375,5010.413990362259,5,-1311.69,-4.98,stoploss
momentum_breakout,ALKEM,2025-08-13,2026-01-13,5345.408203125,5860.155666530212,5,2573.74,9.63,target
momentum_breakout,ABDL,2024-12-04,2024-12-17,349.6836242675781,399.5875549657799,80,3992.31,14.27,target
momentum_breakout,ABDL,2024-12-17,2025-01-28,391.4849853515625,364.6263746961373,74,-1987.54,-6.86,stoploss
momentum_breakout,ABDL,2025-05-15,2025-07-14,406.0137939453125,472.9926288456504,59,3951.75,16.5,target
momentum_breakout,ABDL,2025-07-14,2025-09-15,486.45001220703125,552.5518395972341,60,3966.11,13.59,target
momentum_breakout,ABDL,2025-09-15,2025-09-24,564.3499755859375,529.7663073128537,57,-1971.27,-6.13,stoploss
momentum_breakout,ABDL,2025-10-20,2025-10-31,580.9000244140625,655.3558613796622,53,3946.16,12.82,target
momentum_breakout,ABDL,2025-10-31,2025-11-11,662.0499877929688,617.0435368833621,44,-1980.28,-6.8,stoploss
momentum_breakout,ARE&M,2025-05-29,2025-06-02,1077.4521484375,1014.2674962084498,27,-1705.99,-5.86,stoploss
momentum_breakout,ARE&M,2025-09-11,2025-09-22,1045.809326171875,996.7319310319031,28,-1374.17,-4.69,stoploss
momentum_breakout,AMBER,2024-09-05,2024-09-09,4690.60009765625,4404.203873370066,6,-1718.38,-6.11,stoploss
momentum_breakout,AMBER,2024-09-23,2024-09-27,4994.64990234375,4617.632193027426,5,-1885.09,-7.55,stoploss
momentum_breakout,AMBER,2024-10-16,2024-10-21,5491.64990234375,6465.789227376165,4,3896.56,17.74,target
momentum_breakout,AMBER,2024-10-21,2024-12-09,6344.4501953125,5753.377860035082,3,-1773.22,-9.32,stoploss
momentum_breakout,AMBER,2024-12-23,2024-12-26,6907.7998046875,7946.183373021143,3,3115.15,15.03,target
momentum_breakout,AMBER,2024-12-26,2024-12-30,7867.7001953125,7212.011871209475,3,-1967.06,-8.33,stoploss
momentum_breakout,AMBER,2025-03-20,2025-04-04,7248.5,6586.939294409407,3,-1984.68,-9.13,stoploss
momentum_breakout,AMBER,2025-06-25,2025-07-10,6836.5,7749.434388929323,4,3651.74,13.35,target
momentum_breakout,AMBER,2025-07-30,2025-08-08,8040.5,7488.987704590235,3,-1654.54,-6.86,stoploss
momentum_breakout,AMBER,2025-09-25,2025-09-29,8438.5,8029.320989578168,3,-1227.54,-4.85,stoploss
momentum_breakout,AMBUJACEM,2025-06-27,2025-07-22,574.9500122070312,623.8131192353438,52,2540.88,8.5,target
momentum_breakout,AMBUJACEM,2025-07-22,2025-07-31,620.5499877929688,598.1766721607692,49,-1096.29,-3.61,stoploss
momentum_breakout,ANANDRATHI,2024-10-09,2024-10-30,2047.37158203125,1916.1319487876585,14,-1837.35,-6.41,stoploss
momentum_breakout,ANANDRATHI,2024-12-05,2024-12-20,2178.2373046875,2036.6557267818525,13,-1840.56,-6.5,stoploss
momentum_breakout,ANANDRATHI,2025-06-16,2025-07-14,2099.931884765625,2345.554716235811,13,3193.1,11.7,target
momentum_breakout,ANANDRATHI,2025-07-14,2025-09-01,2535.288330078125,2885.351259149051,11,3850.69,13.81,target
momentum_breakout,ANANDRATHI,2025-09-01,2025-10-14,2914.653564453125,3244.3442612732906,10,3296.91,11.31,target
momentum_breakout,ANANDRATHI,2025-10-14,2025-11-18,3157.083740234375,2935.5925608616544,9,-1993.42,-7.02,stoploss
momentum_breakout,ANANDRATHI,2026-03-02,2026-03-13,3148.5,3003.2742590933317,9,-1307.03,-4.61,stoploss
momentum_breakout,ANANDRATHI,2026-04-06,2026-04-15,3282.89990234375,3657.9561873420466,9,3375.51,11.42,target
momentum_breakout,ANANTRAJ,2024-07-29,2024-08-05,557.12939453125,508.79132973914943,41,-1981.86,-8.68,stoploss
momentum_breakout,ANANTRAJ,2024-08-16,2024-09-20,585.4453125,692.6420566553641,37,3966.28,18.31,target
momentum_breakout,ANANTRAJ,2024-09-20,2024-10-07,721.98095703125,665.4349868950295,35,-1979.11,-7.83,stoploss
momentum_breakout,ANANTRAJ,2024-12-16,2025-01-08,786.2536010742188,895.7015945688272,36,3940.13,13.92,target
momentum_breakout,ANANTRAJ,2025-01-08,2025-01-13,934.4252319335938,864.3468375345711,28,-1962.2,-7.5,stoploss
momentum_breakout,ANANTRAJ,2025-06-02,2025-06-13,579.202880859375,530.781834861925,41,-1985.26,-8.36,stoploss
momentum_breakout,ANANTRAJ,2025-07-15,2025-07-23,606.4700317382812,562.9213817715547,45,-1959.69,-7.18,stoploss
momentum_breakout,ANANTRAJ,2025-09-19,2025-10-03,640.4000244140625,731.5872312049751,43,3921.05,14.24,target
momentum_breakout,ANGELONE,2024-10-15,2024-10-22,311.685791015625,281.8724628565116,67,-1997.49,-9.57,stoploss
momentum_breakout,ANGELONE,2024-12-05,2024-12-20,311.4103088378906,286.2060953749246,79,-1991.13,-8.09,stoploss
momentum_breakout,ANGELONE,2025-05-16,2025-06-05,273.21905517578125,316.98403543952566,91,3982.61,16.02,target
momentum_breakout,ANGELONE,2025-06-05,2025-06-12,321.9666748046875,299.07703318148265,87,-1991.4,-7.11,stoploss
momentum_breakout,ANGELONE,2025-11-07,2025-12-19,257.4788513183594,241.79179332750624,114,-1788.32,-6.09,stoploss
momentum_breakout,ANGELONE,2026-04-09,2026-04-22,281.79998779296875,329.0104964265226,84,3965.68,16.75,target
momentum_breakout,ANTHEM,2026-04-08,2026-04-28,690.7000122070312,782.3073356696681,43,3939.11,13.26,target
momentum_breakout,ANURAS,2025-03-10,2025-04-07,787.4360961914062,708.9438510709842,25,-1962.31,-9.97,stoploss
momentum_breakout,ANURAS,2025-04-16,2025-05-15,795.4808349609375,947.7352636139614,26,3958.62,19.14,target
momentum_breakout,ANURAS,2025-05-15,2025-06-11,957.47509765625,1106.6892325269969,26,3879.57,15.58,target
momentum_breakout,ANURAS,2025-11-20,2025-12-09,1179.199951171875,1308.4776363394085,26,3361.22,10.96,target
momentum_breakout,APARINDS,2024-07-30,2024-08-05,9001.009765625,8163.23971844719,2,-1675.54,-9.31,stoploss
momentum_breakout,APARINDS,2024-09-11,2024-10-07,9897.7998046875,9162.795963300272,2,-1470.01,-7.43,stoploss
momentum_breakout,APARINDS,2024-10-10,2024-10-21,10587.0185546875,9793.676721985406,2,-1586.68,-7.49,stoploss
momentum_breakout,APARINDS,2025-01-03,2025-01-13,10886.2470703125,10228.39014758105,2,-1315.71,-6.04,stoploss
momentum_breakout,APARINDS,2025-05-16,2025-05-20,8179.572265625,7378.627716362301,2,-1601.89,-9.79,stoploss
momentum_breakout,APARINDS,2025-06-26,2025-07-30,8620.958984375,9875.085306188743,3,3762.38,14.55,target
momentum_breakout,APARINDS,2025-09-17,2025-09-26,8943.0,8457.888844240313,3,-1455.33,-5.42,stoploss
momentum_breakout,APARINDS,2025-10-27,2025-11-03,8991.0,8501.415628986466,3,-1468.75,-5.45,stoploss
momentum_breakout,APARINDS,2026-02-18,2026-02-27,10182.0,11558.633225280955,2,2753.27,13.52,target
momentum_breakout,APARINDS,2026-02-27,2026-03-04,11180.5,10278.07654027274,2,-1804.85,-8.07,stoploss
momentum_breakout,APOLLOHOSP,2024-07-18,2024-08-30,6484.72607421875,6909.5525482579715,4,1699.31,6.55,target
momentum_breakout,APOLLOHOSP,2024-09-12,2024-10-04,7033.47314453125,6759.126115423545,4,-1097.39,-3.9,stoploss
momentum_breakout,APOLLOHOSP,2024-11-07,2024-11-11,7395.0673828125,7066.127698215019,4,-1315.76,-4.45,stoploss
momentum_breakout,APOLLOHOSP,2025-04-09,2025-07-01,6816.314453125,7394.530170602748,4,2312.86,8.48,target
momentum_breakout,APOLLOHOSP,2025-07-01,2025-07-11,7476.49169921875,7204.097839495404,4,-1089.58,-3.64,stoploss
momentum_breakout,APOLLOHOSP,2025-08-13,2025-09-29,7788.17822265625,7448.024051182225,3,-1020.46,-4.37,stoploss
momentum_breakout,APOLLOHOSP,2025-10-17,2025-10-31,7891.02392578125,7647.269992302532,3,-731.26,-3.09,stoploss
momentum_breakout,APOLLOTYRE,2024-09-25,2024-10-04,535.057373046875,510.3947913044816,56,-1381.1,-4.61,stoploss
momentum_breakout,APOLLOTYRE,2025-05-02,2025-06-13,468.1936340332031,441.23335735340123,63,-1698.5,-5.76,stoploss
momentum_breakout,APOLLOTYRE,2025-09-02,2025-11-13,484.4255676269531,533.6458591219009,60,2953.22,10.16,target
momentum_breakout,APTUS,2024-09-13,2024-09-24,329.0853576660156,370.1280760066414,91,3734.89,12.47,target
momentum_breakout,APTUS,2025-04-16,2025-08-14,315.3543395996094,354.4969718714991,98,3835.98,12.41,target
momentum_breakout,ASAHIINDIA,2024-09-04,2024-09-20,676.6919555664062,763.555555221466,44,3822.0,12.84,target
momentum_breakout,ASAHIINDIA,2024-09-20,2024-10-17,775.7066650390625,717.4520236930458,34,-1980.66,-7.51,stoploss
momentum_breakout,ASAHIINDIA,2024-12-10,2024-12-17,789.3243408203125,733.5502146504477,35,-1952.09,-7.07,stoploss
momentum_breakout,ASAHIINDIA,2025-04-22,2025-06-19,713.604248046875,817.3319659369272,38,3941.65,14.54,target
momentum_breakout,ASAHIINDIA,2025-11-24,2025-12-10,1052.6500244140625,988.1983680276023,29,-1869.1,-6.12,stoploss
momentum_breakout,ASHOKLEY,2024-07-26,2024-10-03,119.14240264892578,111.7302503783557,251,-1860.45,-6.22,stoploss
momentum_breakout,ASHOKLEY,2025-06-26,2025-07-31,123.6216049194336,118.86631716895126,238,-1131.76,-3.85,stoploss
momentum_breakout,ASHOKLEY,2025-08-18,2025-11-11,130.87242126464844,144.43044546038877,222,3009.88,10.36,target
momentum_breakout,ASHOKLEY,2025-11-11,2025-11-27,145.0562286376953,157.32939435574667,206,2528.27,8.46,target
momentum_breakout,ASHOKLEY,2025-11-27,2025-12-22,159.75,176.3727487800012,192,3191.57,10.41,target
momentum_breakout,ASHOKLEY,2025-12-30,2026-01-23,178.6300048828125,194.4150707895634,177,2793.96,8.84,target
momentum_breakout,ASHOKLEY,2026-01-23,2026-02-11,192.97999572753906,214.45888345690219,168,3608.45,11.13,target
momentum_breakout,ASIANPAINT,2024-07-11,2024-07-18,2984.64111328125,2881.72359435351,10,-1029.18,-3.45,stoploss
momentum_breakout,ASIANPAINT,2024-07-31,2024-09-11,3046.2685546875,3283.948901613347,9,2139.12,7.8,target
momentum_breakout,ASIANPAINT,2024-09-11,2024-09-18,3325.765380859375,3211.54220046859,9,-1028.01,-3.43,stoploss
momentum_breakout,ASIANPAINT,2025-04-08,2025-05-09,2368.615966796875,2257.7290234985812,12,-1330.64,-4.68,stoploss
momentum_breakout,ASIANPAINT,2025-07-02,2025-07-25,2415.6298828125,2327.6601041309664,12,-1055.64,-3.64,stoploss
momentum_breakout,ASIANPAINT,2025-08-18,2025-08-25,2583.3681640625,2486.4856521359497,11,-1065.71,-3.75,stoploss
momentum_breakout,ASIANPAINT,2025-11-06,2025-11-12,2598.843994140625,2784.320507767092,11,2040.24,7.14,target
momentum_breakout,ASIANPAINT,2025-11-12,2026-01-21,2765.484130859375,2653.6006571837415,10,-1118.83,-4.05,stoploss
momentum_breakout,ASTERDM,2024-08-07,2024-10-24,387.8534851074219,438.47642730128877,77,3897.97,13.05,target
momentum_breakout,ASTERDM,2024-10-24,2024-11-29,437.0555114746094,502.4187012242591,61,3987.15,14.96,target
momentum_breakout,ASTERDM,2024-11-29,2025-01-29,492.7407531738281,462.70040759719797,65,-1952.62,-6.1,stoploss
momentum_breakout,ASTERDM,2025-05-07,2025-05-15,531.780517578125,602.9368734743613,56,3984.76,13.38,target
momentum_breakout,ASTERDM,2025-05-15,2025-05-28,577.9509887695312,538.0735531274863,50,-1993.87,-6.9,stoploss
momentum_breakout,ASTERDM,2025-07-03,2025-07-10,646.13818359375,601.6259175058951,44,-1958.54,-6.89,stoploss
momentum_breakout,ASTERDM,2025-09-02,2025-10-09,629.2935791015625,705.2928988958429,50,3799.97,12.08,target
momentum_breakout,ASTERDM,2026-03-06,2026-03-20,669.7662963867188,626.209552740936,45,-1960.05,-6.5,stoploss
momentum_breakout,ASTERDM,2026-04-27,2026-04-29,719.7999877929688,699.5,44,-893.2,-2.82,end_of_data
