symbol,company_name,sector,isin,dhan_security_id,lot_size,tick_size,yfinance_symbol
NLCINDIA,NLC India Ltd.,Power,INE589A01014,8585,1.0,5.0,NLCINDIA.NS
NMDC,NMDC Ltd.,Metals & Mining,INE584A01023,15332,1.0,1.0,NMDC.NS
NSLNISP,NMDC Steel Ltd.,Metals & Mining,INE0NNS01018,14180,1.0,1.0,NSLNISP.NS
NTPCGREEN,NTPC Green Energy Ltd.,Power,INE0ONG01011,27176,1.0,1.0,NTPCGREEN.NS
NTPC,NTPC Ltd.,Power,INE733E01010,11630,1.0,5.0,NTPC.NS
NH,Narayana Hrudayalaya Ltd.,Healthcare,INE410P01011,11840,1.0,10.0,NH.NS
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,INE139A01034,6364,1.0,5.0,NATIONALUM.NS
NAVA,Nava Ltd.,Power,INE725A01030,4014,1.0,5.0,NAVA.NS
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,INE048G01026,14672,1.0,50.0,NAVINFLUOR.NS
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,INE239A01024,17963,1.0,10.0,NESTLEIND.NS
NETWEB,Netweb Technologies India Ltd.,Information Technology,INE0NT901020,17433,1.0,10.0,NETWEB.NS
NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,INE794A01010,2406,1.0,100.0,NEULANDLAB.NS
NEWGEN,Newgen Software Technologies Ltd.,Information Technology,INE619B01017,1164,1.0,5.0,NEWGEN.NS
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,INE298J01013,357,1.0,5.0,NAM-INDIA.NS
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,Financial Services,INE995S01015,27097,1.0,1.0,NIVABUPA.NS
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,INE531F01023,18721,1.0,10.0,NUVAMA.NS
NUVOCO,Nuvoco Vistas Corporation Ltd.,Construction Materials,INE118D01016,5426,1.0,5.0,NUVOCO.NS
OBEROIRLTY,Oberoi Realty Ltd.,Realty,INE093I01010,20242,1.0,10.0,OBEROIRLTY.NS
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,INE213A01029,2475,1.0,5.0,ONGC.NS
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,INE274J01014,17438,1.0,5.0,OIL.NS
OLAELEC,Ola Electric Mobility Ltd.,Automobile and Auto Components,INE0LXG01040,24777,1.0,1.0,OLAELEC.NS
OLECTRA,Olectra Greentech Ltd.,Automobile and Auto Components,INE260D01016,10637,1.0,5.0,OLECTRA.NS
PAYTM,One 97 Communications Ltd.,Financial Services,INE982J01020,6705,1.0,5.0,PAYTM.NS
ONESOURCE,Onesource Specialty Pharma Ltd.,Healthcare,INE013P01021,29224,1.0,10.0,ONESOURCE.NS
OFSS,Oracle Financial Services Software Ltd.,Information Technology,INE881D01027,10738,1.0,50.0,OFSS.NS
POLICYBZR,PB Fintech Ltd.,Financial Services,INE417T01026,6656,1.0,10.0,POLICYBZR.NS
PCBL,PCBL Chemical Ltd.,Chemicals,INE602A01031,2649,1.0,1.0,PCBL.NS
PGEL,PG Electroplast Ltd.,Consumer Durables,INE457L01029,25358,1.0,5.0,PGEL.NS
PIIND,PI Industries Ltd.,Chemicals,INE603J01030,24184,1.0,10.0,PIIND.NS
PNBHOUSING,PNB Housing Finance Ltd.,Financial Services,INE572E01012,18908,1.0,5.0,PNBHOUSING.NS
PTCIL,PTC Industries Ltd.,Capital Goods,INE596F01018,16682,1.0,100.0,PTCIL.NS
PVRINOX,PVR INOX Ltd.,Media Entertainment & Publication,INE191H01014,13147,1.0,5.0,PVRINOX.NS
PAGEIND,Page Industries Ltd.,Textiles,INE761H01022,14413,1.0,500.0,PAGEIND.NS
PARADEEP,Paradeep Phosphates Ltd.,Chemicals,INE088F01024,9741,1.0,1.0,PARADEEP.NS
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,INE619A01035,17029,1.0,5.0,PATANJALI.NS
PERSISTENT,Persistent Systems Ltd.,Information Technology,INE262H01021,18365,1.0,10.0,PERSISTENT.NS
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,INE347G01014,11351,1.0,1.0,PETRONET.NS
PFIZER,Pfizer Ltd.,Healthcare,INE182A01018,2643,1.0,10.0,PFIZER.NS
PHOENIXLTD,Phoenix Mills Ltd.,Realty,INE211B01039,14552,1.0,10.0,PHOENIXLTD.NS
PWL,Physicswallah Ltd.,Consumer Services,INE0LP301011,759723,1.0,1.0,PWL.NS
PIDILITIND,Pidilite Industries Ltd.,Chemicals,INE318A01026,2664,1.0,10.0,PIDILITIND.NS
PINELABS,Pine Labs Ltd.,Financial Services,INE15B701018,759820,1.0,1.0,PINELABS.NS
PIRAMALFIN,Piramal Finance Ltd.,Financial Services,INE202B01038,759551,1.0,10.0,PIRAMALFIN.NS
PPLPHARMA,Piramal Pharma Ltd.,Healthcare,INE0DK501011,11571,1.0,1.0,PPLPHARMA.NS
POLYMED,Poly Medicure Ltd.,Healthcare,INE205C01021,25718,1.0,10.0,POLYMED.NS
POLYCAB,Polycab India Ltd.,Capital Goods,INE455K01017,9590,1.0,50.0,POLYCAB.NS
POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services,INE511C01022,11403,1.0,5.0,POONAWALLA.NS
PFC,Power Finance Corporation Ltd.,Financial Services,INE134E01011,14299,1.0,5.0,PFC.NS
POWERGRID,Power Grid Corporation of India Ltd.,Power,INE752E01010,14977,1.0,5.0,POWERGRID.NS
PREMIERENE,Premier Energies Ltd.,Capital Goods,INE0BS701011,25049,1.0,5.0,PREMIERENE.NS
PRESTIGE,Prestige Estates Projects Ltd.,Realty,INE811K01011,20302,1.0,10.0,PRESTIGE.NS
PNB,Punjab National Bank,Financial Services,INE160A01022,10666,1.0,1.0,PNB.NS
RRKABEL,R R Kabel Ltd.,Capital Goods,INE777K01022,18566,1.0,10.0,RRKABEL.NS
RBLBANK,RBL Bank Ltd.,Financial Services,INE976G01028,18391,1.0,5.0,RBLBANK.NS
RECLTD,REC Ltd.,Financial Services,INE020B01018,15355,1.0,5.0,RECLTD.NS
RHIM,RHI MAGNESITA INDIA LTD.,Capital Goods,INE743M01012,31163,1.0,5.0,RHIM.NS
RITES,RITES Ltd.,Construction,INE320J01015,3761,1.0,1.0,RITES.NS
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,INE944F01028,10990,1.0,10.0,RADICO.NS
RVNL,Rail Vikas Nigam Ltd.,Construction,INE415G01027,9552,1.0,1.0,RVNL.NS
RAILTEL,Railtel Corporation Of India Ltd.,Telecommunication,INE0DD101019,2431,1.0,1.0,RAILTEL.NS
RAINBOW,Rainbow Childrens Medicare Ltd.,Healthcare,INE961O01016,9408,1.0,10.0,RAINBOW.NS
RKFORGE,Ramkrishna Forgings Ltd.,Automobile and Auto Components,INE399G01023,11411,1.0,5.0,RKFORGE.NS
REDINGTON,Redington Ltd.,Services,INE891D01026,14255,1.0,1.0,REDINGTON.NS
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,INE002A01018,2885,1.0,10.0,RELIANCE.NS
RPOWER,Reliance Power Ltd.,Power,INE614G01033,15259,1.0,1.0,RPOWER.NS
SBFC,SBFC Finance Ltd.,Financial Services,INE423Y01016,18026,1.0,1.0,SBFC.NS
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,INE018E01016,17971,1.0,5.0,SBICARD.NS
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,INE123W01016,21808,1.0,10.0,SBILIFE.NS
SJVN,SJVN Ltd.,Power,INE002L01015,18883,1.0,1.0,SJVN.NS
SRF,SRF Ltd.,Chemicals,INE647A01010,3273,1.0,10.0,SRF.NS
SAGILITY,Sagility Ltd.,Information Technology,INE0W2G01015,27052,1.0,1.0,SAGILITY.NS
SAILIFE,Sai Life Sciences Ltd.,Healthcare,INE570L01029,27839,1.0,5.0,SAILIFE.NS
SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,INE148I01020,30125,1.0,1.0,SAMMAANCAP.NS
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,INE775A01035,25510,1.0,5.0,MOTHERSON.NS
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,INE775A01035,4204,1.0,1.0,MOTHERSON.NS
SAPPHIRE,Sapphire Foods India Ltd.,Consumer Services,INE806T01020,6718,1.0,1.0,SAPPHIRE.NS
SARDAEN,Sarda Energy and Minerals Ltd.,Metals & Mining,INE385C01021,17758,1.0,5.0,SARDAEN.NS
SAREGAMA,Saregama India Ltd,Media Entertainment & Publication,INE979A01025,4892,1.0,5.0,SAREGAMA.NS
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,INE513A01022,1011,1.0,10.0,SCHAEFFLER.NS
SCHNEIDER,Schneider Electric Infrastructure Ltd.,Capital Goods,INE839M01018,31238,1.0,5.0,SCHNEIDER.NS
SCI,Shipping Corporation of India Ltd.,Services,INE109A01011,3048,1.0,1.0,SCI.NS
SHREECEM,Shree Cement Ltd.,Construction Materials,INE070A01015,3103,1.0,500.0,SHREECEM.NS
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,INE721A01047,4306,1.0,5.0,SHRIRAMFIN.NS
SHYAMMETL,Shyam Metalics and Energy Ltd.,Capital Goods,INE810G01011,4693,1.0,5.0,SHYAMMETL.NS
ENRIN,Siemens Energy India Ltd.,Capital Goods,INE1NPP01017,756871,1.0,10.0,ENRIN.NS
SIEMENS,Siemens Ltd.,Capital Goods,INE003A01024,3150,1.0,10.0,SIEMENS.NS
SIGNATURE,Signatureglobal (India) Ltd.,Realty,INE903U01023,18743,1.0,5.0,SIGNATURE.NS
SOBHA,Sobha Ltd.,Realty,INE671H01015,13826,1.0,10.0,SOBHA.NS
SOLARINDS,Solar Industries India Ltd.,Chemicals,INE343H01029,13332,1.0,100.0,SOLARINDS.NS
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,INE073K01018,4684,1.0,5.0,SONACOMS.NS
SONATSOFTW,Sonata Software Ltd.,Information Technology,INE269A01021,6596,1.0,1.0,SONATSOFTW.NS
STARHEALTH,Star Health and Allied Insurance Company Ltd.,Financial Services,INE575P01011,7083,1.0,5.0,STARHEALTH.NS
SBIN,State Bank of India,Financial Services,INE062A01020,3045,1.0,5.0,SBIN.NS
SAIL,Steel Authority of India Ltd.,Metals & Mining,INE114A01011,2963,1.0,1.0,SAIL.NS
SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals,INE258G01013,17105,1.0,5.0,SUMICHEM.NS
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,INE044A01036,3351,1.0,10.0,SUNPHARMA.NS
SUNTV,Sun TV Network Ltd.,Media Entertainment & Publication,INE424H01027,13404,1.0,5.0,SUNTV.NS
SUNDARMFIN,Sundaram Finance Ltd.,Financial Services,INE660A01013,3339,1.0,10.0,SUNDARMFIN.NS
SUPREMEIND,Supreme Industries Ltd.,Capital Goods,INE195A01028,3363,1.0,10.0,SUPREMEIND.NS
SPLPETRO,Supreme Petrochem Ltd.,Chemicals,INE663A01033,9617,1.0,5.0,SPLPETRO.NS
SUZLON,Suzlon Energy Ltd.,Capital Goods,INE040H01021,12018,1.0,1.0,SUZLON.NS
SWANCORP,Swan Corp Ltd.,Chemicals,INE665A01038,27095,1.0,5.0,SWANCORP.NS
SWIGGY,Swiggy Ltd.,Consumer Services,INE00H001014,27066,1.0,5.0,SWIGGY.NS
SYNGENE,Syngene International Ltd.,Healthcare,INE398R01022,10243,1.0,5.0,SYNGENE.NS
SYRMA,Syrma SGS Technology Ltd.,Capital Goods,INE0DYJ01015,10793,1.0,5.0,SYRMA.NS
TBOTEK,TBO Tek Ltd.,Consumer Services,INE673O01025,23740,1.0,10.0,TBOTEK.NS
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,INE494B01023,8479,1.0,10.0,TVSMOTOR.NS
TATACAP,Tata Capital Ltd.,Financial Services,INE976I01016,759265,1.0,5.0,TATACAP.NS
TATACHEM,Tata Chemicals Ltd.,Chemicals,INE092A01019,3405,1.0,5.0,TATACHEM.NS
TATACOMM,Tata Communications Ltd.,Telecommunication,INE151A01013,3721,1.0,10.0,TATACOMM.NS
TCS,Tata Consultancy Services Ltd.,Information Technology,INE467B01029,11536,1.0,10.0,TCS.NS
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,INE192A01025,3432,1.0,10.0,TATACONSUM.NS
TATAELXSI,Tata Elxsi Ltd.,Information Technology,INE670A01012,3411,1.0,10.0,TATAELXSI.NS
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,INE672A01026,1621,1.0,5.0,TATAINVEST.NS
TMCV,Tata Motors Ltd.,Capital Goods,INE1TAE01010,759782,1.0,5.0,TMCV.NS
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,INE155A01022,3456,1.0,5.0,TMPV.NS
TATAPOWER,Tata Power Co. Ltd.,Power,INE245A01021,3426,1.0,5.0,TATAPOWER.NS
TATASTEEL,Tata Steel Ltd.,Metals & Mining,INE081A01020,3499,1.0,1.0,TATASTEEL.NS
TATATECH,Tata Technologies Ltd.,Information Technology,INE142M01025,20293,1.0,5.0,TATATECH.NS
TTML,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,INE517B01013,8954,1.0,1.0,TTML.NS
TECHM,Tech Mahindra Ltd.,Information Technology,INE669C01036,13538,1.0,10.0,TECHM.NS
TECHNOE,Techno Electric & Engineering Company Ltd.,Construction,INE285K01026,6445,1.0,5.0,TECHNOE.NS
TEGA,Tega Industries Ltd.,Capital Goods,INE011K01018,7105,1.0,10.0,TEGA.NS
TEJASNET,Tejas Networks Ltd.,Telecommunication,INE010J01012,21131,1.0,5.0,TEJASNET.NS
TENNIND,Tenneco Clean Air India Ltd.,Automobile and Auto Components,INE19RI01016,759880,1.0,5.0,TENNIND.NS
NIACL,The New India Assurance Company Ltd.,Financial Services,INE470Y01017,399,1.0,1.0,NIACL.NS
RAMCOCEM,The Ramco Cements Ltd.,Construction Materials,INE331A01037,2043,1.0,5.0,RAMCOCEM.NS
THERMAX,Thermax Ltd.,Capital Goods,INE152A01029,3475,1.0,10.0,THERMAX.NS
TIMKEN,Timken India Ltd.,Capital Goods,INE325A01013,14198,1.0,10.0,TIMKEN.NS
TITAGARH,Titagarh Rail Systems Ltd.,Capital Goods,INE615H01020,15414,1.0,5.0,TITAGARH.NS
TITAN,Titan Company Ltd.,Consumer Durables,INE280A01028,3506,1.0,10.0,TITAN.NS
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,INE685A01028,3518,1.0,10.0,TORNTPHARM.NS
TORNTPOWER,Torrent Power Ltd.,Power,INE813H01021,13786,1.0,10.0,TORNTPOWER.NS
TARIL,Transformers And Rectifiers (India) Ltd.,Capital Goods,INE763I01026,15174,1.0,5.0,TARIL.NS
TRAVELFOOD,Travel Food Services Ltd.,Consumer Services,INE103V01028,757545,1.0,10.0,TRAVELFOOD.NS
TRENT,Trent Ltd.,Consumer Services,INE849A01020,1964,1.0,10.0,TRENT.NS
TRIDENT,Trident Ltd.,Textiles,INE064C01022,9685,1.0,1.0,TRIDENT.NS
TRITURBINE,Triveni Turbine Ltd.,Capital Goods,INE152M01016,25584,1.0,5.0,TRITURBINE.NS
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,INE974X01010,312,1.0,10.0,TIINDIA.NS
UCOBANK,UCO Bank,Financial Services,INE691A01018,11223,1.0,1.0,UCOBANK.NS
UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,INE405E01023,14154,1.0,10.0,UNOMINDA.NS
UPL,UPL Ltd.,Chemicals,INE628A01036,11287,1.0,5.0,UPL.NS
UTIAMC,UTI Asset Management Company Ltd.,Financial Services,INE094J01016,527,1.0,5.0,UTIAMC.NS
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,INE481G01011,11532,1.0,100.0,ULTRACEMCO.NS
UNIONBANK,Union Bank of India,Financial Services,INE692A01016,10753,1.0,1.0,UNIONBANK.NS
UBL,United Breweries Ltd.,Fast Moving Consumer Goods,INE686F01025,16713,1.0,10.0,UBL.NS
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,INE854D01024,10447,1.0,10.0,UNITDSPR.NS
URBANCO,Urban Company Ltd.,Consumer Services,INE0CAZ01013,759084,1.0,1.0,URBANCO.NS
USHAMART,Usha Martin Ltd.,Capital Goods,INE228A01035,8840,1.0,5.0,USHAMART.NS
VTL,Vardhman Textiles Ltd.,Textiles,INE825A01020,2073,1.0,5.0,VTL.NS
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,INE200M01039,18921,1.0,5.0,VBL.NS
VEDL,Vedanta Ltd.,Metals & Mining,INE205A01025,3063,1.0,5.0,VEDL.NS
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,INE043W01024,5585,1.0,5.0,VIJAYA.NS
VMM,Vishal Mega Mart Ltd.,Consumer Services,INE01EA01019,27969,1.0,1.0,VMM.NS
IDEA,Vodafone Idea Ltd.,Telecommunication,INE669E01016,14366,1.0,1.0,IDEA.NS
VOLTAS,Voltas Ltd.,Consumer Durables,INE226A01021,3718,1.0,10.0,VOLTAS.NS
WAAREEENER,Waaree Energies Ltd.,Capital Goods,INE377N01017,25907,1.0,10.0,WAAREEENER.NS
WELCORP,Welspun Corp Ltd.,Capital Goods,INE191B01025,11821,1.0,5.0,WELCORP.NS
WELSPUNLIV,Welspun Living Ltd.,Textiles,INE192B01031,11253,1.0,1.0,WELSPUNLIV.NS
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables,INE716A01013,18011,1.0,5.0,WHIRLPOOL.NS
WIPRO,Wipro Ltd.,Information Technology,INE075A01022,3787,1.0,1.0,WIPRO.NS
WOCKPHARMA,Wockhardt Ltd.,Healthcare,INE049B01025,7506,1.0,10.0,WOCKPHARMA.NS
YESBANK,Yes Bank Ltd.,Financial Services,INE528G01035,11915,1.0,1.0,YESBANK.NS
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,INE342J01019,16915,1.0,100.0,ZFCVINDIA.NS
ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,INE256A01028,3812,1.0,1.0,ZEEL.NS
ZENTEC,Zen Technologies Ltd.,Capital Goods,INE251B01027,7508,1.0,10.0,ZENTEC.NS
ZENSARTECH,Zensar Technolgies Ltd.,Information Technology,INE520A01027,1076,1.0,5.0,ZENSARTECH.NS
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,INE010B01027,7929,1.0,5.0,ZYDUSLIFE.NS
ZYDUSWELL,Zydus Wellness Ltd.,Fast Moving Consumer Goods,INE768C01028,17635,1.0,5.0,ZYDUSWELL.NS
ECLERX,eClerx Services Ltd.,Services,INE738I01010,15179,1.0,10.0,ECLERX.NS
